cp_id,cp_name,cp_type,country,bank_name
CP_10000,Evans-Cannon Corp,Corporate,Germany,Harper-Robles Bank
CP_10001,"Brooks, Jenkins and Castro Holdings",Offshore,BVI,Wright-Espinoza Bank
CP_10002,"Price, Gray and Baker Corp",Corporate,Saudi Arabia,Garrett-Black Bank
CP_10003,"Aguirre, Cohen and Mitchell Trading",High-Risk,North Korea,"Patel, Adams and Lopez Bank"
CP_10004,Chad Rodriguez,Individual,UK,Williamson-Nelson Bank
CP_10005,"Vasquez, Flores and Hernandez Trading",High-Risk,North Korea,"Johnson, Compton and Campbell Bank"
CP_10006,Espinoza Ltd Holdings,Offshore,Seychelles,Hall and Sons Bank
CP_10007,Daniel Fisher,Individual,UK,Bolton-Ford Bank
CP_10008,Rivera and Sons Holdings,Offshore,Cayman Islands,Adams Group Bank
CP_10009,Daniels and Sons Holdings,Offshore,Cayman Islands,Huang LLC Bank
CP_10010,Clayton-Martinez Corp,Corporate,China,"Wright, Wise and Ramos Bank"
CP_10011,"Vang, Gonzalez and Moss Holdings",Offshore,Seychelles,Boyd and Sons Bank
CP_10012,Price-Ali Holdings,Offshore,Panama,Moore-Chandler Bank
CP_10013,"Pineda, Meyer and King Corp",Corporate,China,"Evans, Ward and Williams Bank"
CP_10014,"Robinson, Rodriguez and Chen Corp",Corporate,Saudi Arabia,Smith-Bauer Bank
CP_10015,"Wilson, Mccormick and Smith Corp",Corporate,Saudi Arabia,Perkins Ltd Bank
CP_10016,Kyle Watson,Individual,UK,Wright Group Bank
CP_10017,Luke Galvan,Individual,Philippines,"Brown, Kelly and Moore Bank"
CP_10018,Ashley Freeman,Individual,India,Holden-Kramer Bank
CP_10019,Trujillo-Gonzales Holdings,Offshore,Panama,Smith Group Bank
CP_10020,Ramsey-King Holdings,Offshore,Cayman Islands,Washington Group Bank
CP_10021,Kimberly Henry,Individual,Philippines,"Lopez, Bailey and Oconnor Bank"
CP_10022,Dillon-George Trading,High-Risk,Myanmar,"Martin, Schmidt and Cole Bank"
CP_10023,Weaver-Gibson Corp,Corporate,China,"Hunter, Gross and Andrade Bank"
CP_10024,"Vincent, Parsons and Allen Corp",Corporate,Germany,"Brown, Coffey and Fuentes Bank"
CP_10025,Warren Group Corp,Corporate,China,"Moore, Campbell and Ortiz Bank"
CP_10026,Rodriguez-Mills Holdings,Offshore,Panama,Williams and Sons Bank
CP_10027,Andre Rodriguez,Individual,UK,Garcia PLC Bank
CP_10028,"Huff, Barrett and Fox Trading",High-Risk,Myanmar,"Garza, Williams and Walker Bank"
CP_10029,Alexis Mccall,Individual,Egypt,"Henry, Preston and Miller Bank"
CP_10030,"Brown, Grant and Hurley Holdings",Offshore,Seychelles,Short-Bauer Bank
CP_10031,Luis Rice,Individual,Philippines,"Jones, Torres and Blackburn Bank"
