customer_id,segment,name,income_or_turnover,budget_pct,expected_monthly_outflow,expected_monthly_txns,salary_day,employer_id,fav_merchants,fav_counterparties,kyc_risk,join_date,industry,kyc_score,static_risk_score,risk_score_off_highJur,total_debit,annual_income_or_turnover,velocity_ratio,velocity_severity,velocity_component,dynamic_risk_raw,static_norm,dynamic_norm,composite_crr,crr_tier,drift,involved_in_scenario
CUST_100000,retail,Nathan Mccann,4846,0.8258664756195273,4002,9,26.0,EMP_1752,MERCH_1460|MERCH_1262|MERCH_1405|MERCH_1270|MERCH_1247|MERCH_1248|MERCH_1471,CP_10140|CP_11063,Low,2022-10-01,Finance,0.1,0.3447368421052632,0.0,52266.09,58152,0.8987840486999586,49.48032665181886,9.896065330363772,9.896065330363772,0.420410783055199,0.19333119722542555,0.26145507297435755,Medium,1.0,False
CUST_100001,retail,Julie Gonzalez,200000,0.7093361557648565,141867,20,26.0,EMP_1560,MERCH_1229|MERCH_1280|MERCH_1212|MERCH_1319,CP_10016|CP_10713,Medium,2019-02-01,Tech,0.5,0.3394736842105263,0.0,822965.88,2400000,0.34290245,0.3959415986142044,0.07918831972284088,0.07918831972284089,0.41399229781771507,0.0015470363368876264,0.12528061478113586,Low,-1.0,False
CUST_100002,sme,Ortiz Inc,1738989,0.5938910827152846,1032770,128,,,MERCH_1044|MERCH_1003|MERCH_1002|MERCH_1215,CP_10301|CP_10059,Low,2020-06-01,,0.1,0.25333333333333335,0.0,717162.13,20867868,0.03436681361028352,41.913282863041985,8.382656572608397,8.382656572608397,0.3089430894308944,0.16376498911536497,0.20731841921002378,Medium,1.0,False
CUST_100003,corporate,Brown Ltd,893317,0.8533473922575809,762309,103,,,MERCH_1172|MERCH_1461|MERCH_1475|MERCH_1034|MERCH_1061|MERCH_1426|MERCH_1498,CP_11047|CP_11658|CP_11472,Low,2021-12-01,,0.1,0.36000000000000004,0.0,2134953.87,10719804,0.19915978594384748,85.3763440860215,17.0752688172043,17.0752688172043,0.4390243902439025,0.33358532438616534,0.36521704414348644,Medium,1.0,False
CUST_100004,retail,Bobby Williams,17668,0.6729775242064084,11890,35,28.0,EMP_1126,MERCH_1057|MERCH_1152|MERCH_1025|MERCH_1478|MERCH_1161|MERCH_1033|MERCH_1403,CP_10685|CP_10300|CP_11783,Low,2022-10-01,Education,0.1,0.24210526315789477,0.0,201160.55,212016,0.948798911402913,54.243999010146005,10.848799802029202,10.848799802029204,0.29525032092426196,0.21194397815360483,0.23693588098480195,Medium,1.0,False
CUST_100005,retail,Heather Schmidt,5898,0.7505658738643242,4426,8,27.0,EMP_1095,MERCH_1432|MERCH_1254|MERCH_1173|MERCH_1237|MERCH_1158|MERCH_1155|MERCH_1470,CP_10464|CP_10171|CP_10986,Low,2022-06-01,Tech,0.1,0.22368421052631582,0.0,173385.41,70776,2.4497769017746127,85.31304132640436,17.062608265280872,17.062608265280872,0.2727856225930681,0.3333379857137557,0.31517227677754944,Medium,1.0,False
CUST_100006,retail,Eric Owen,3000,0.5466868868504678,1640,17,27.0,EMP_1268,MERCH_1228|MERCH_1264|MERCH_1134,CP_11029|CP_10219|CP_10627,Low,2020-12-01,Construction,0.1,0.3052631578947369,0.0,150876.0,36000,4.191,96.22618163820836,19.245236327641674,19.245236327641678,0.3722721437740694,0.37597817474922096,0.3748663654566755,Medium,1.0,False
CUST_100007,retail,Michael Johnson,15985,0.9108422109987844,14559,48,26.0,EMP_1930,MERCH_1400|MERCH_1005|MERCH_1027|MERCH_1440,CP_10424,Low,2018-06-01,Finance,0.1,0.3447368421052632,0.0,743121.4,191820,3.874055885726202,94.56817619401139,18.91363523880228,18.91363523880228,0.420410783055199,0.369499960088504,0.38477320697851247,Medium,1.0,False
CUST_100008,retail,Catherine Schmidt,7664,0.4232990625740301,3244,17,25.0,EMP_1020,MERCH_1317|MERCH_1252|MERCH_1362|MERCH_1147|MERCH_1466,CP_11590,Low,2020-12-01,Tech,0.1,0.1631578947368421,0.0,66518.4,91968,0.7232776617954071,28.507795100222715,5.701559020044543,5.701559020044543,0.19897304236200258,0.11138661625590908,0.13766254408773712,Low,0.0,False
CUST_100009,retail,Heather Simmons,17870,0.4547038785987044,8125,41,25.0,EMP_1127,MERCH_1290|MERCH_1035|MERCH_1041|MERCH_1388|MERCH_1284|MERCH_1211|MERCH_1198,CP_10832|CP_11001,Low,2019-03-01,Construction,0.1,0.28684210526315795,0.0,161832.0,214440,0.7546726357022944,32.56619648601831,6.513239297203662,6.513239297203663,0.34980744544287556,0.12724373870900726,0.19401285072916774,Low,0.0,False
CUST_100010,retail,David Johnson,12936,0.7240604987201191,9366,58,26.0,EMP_1498,MERCH_1262|MERCH_1074|MERCH_1254|MERCH_1280|MERCH_1285,CP_10761|CP_11410|CP_10464,Low,2019-05-01,Tech,0.1,0.20789473684210527,0.0,158961.6,155232,1.024025974025974,60.18312298935907,12.036624597871814,12.036624597871814,0.2535301668806162,0.23514952320691918,0.24066371630902827,Medium,1.0,False
CUST_100011,sme,Hoffman LLC,1027533,0.7280089079863011,748053,128,,,MERCH_1161|MERCH_1423|MERCH_1064|MERCH_1245|MERCH_1170|MERCH_1354|MERCH_1121,CP_10358,Low,2020-06-01,,0.1,0.2833333333333334,0.0,695578.62,12330396,0.05641170161931539,55.402615278733656,11.080523055746731,11.080523055746731,0.34552845528455295,0.21647096262375828,0.2551882104219967,Medium,1.0,False
CUST_100012,retail,Michael Brennan,21570,0.4736301330120098,10216,59,28.0,EMP_1117,MERCH_1314|MERCH_1041|MERCH_1313|MERCH_1046,CP_11577|CP_11848|CP_11268,Low,2018-05-01,Education,0.1,0.15789473684210525,0.0,200244.0,258840,0.7736207695873899,34.929472902746845,6.985894580549369,6.9858945805493695,0.1925545571245186,0.13647761184480528,0.15330069542871927,Low,0.0,False
CUST_100013,retail,James Carson,9264,0.7575899428847039,7018,17,26.0,EMP_1455,MERCH_1388|MERCH_1085|MERCH_1371|MERCH_1450|MERCH_1423|MERCH_1199,CP_11476,Medium,2021-12-01,Construction,0.5,0.48684210526315796,0.0,100186.72,111168,0.9012190558434082,49.70304380103935,9.94060876020787,9.94060876020787,0.5937098844672658,0.19420140516492482,0.3140539489556271,Medium,0.0,False
CUST_100014,retail,Jessica King,74605,0.678207565426489,50597,39,28.0,EMP_1677,MERCH_1313|MERCH_1374|MERCH_1204,CP_11200|CP_11871|CP_11336,Low,2018-04-01,Construction,0.1,0.3263157894736843,0.0,472203.37,895260,0.5274483055201841,12.298935906953725,2.459787181390745,2.459787181390745,0.3979460847240052,0.04805481621457189,0.1530221967674019,Low,0.0,False
CUST_100015,retail,James Morrow,7747,0.5518682431464756,4275,8,28.0,EMP_1295,MERCH_1447|MERCH_1303|MERCH_1249|MERCH_1154|MERCH_1253|MERCH_1001|MERCH_1123,CP_10590|CP_11135,Low,2019-09-01,Education,0.1,0.15263157894736842,0.0,62941.03,92964,0.6770473516630093,22.791388270230144,4.558277654046028,4.558277654046029,0.18613607188703468,0.089051279142094,0.11817671696557619,Low,0.0,False
CUST_100016,retail,Kevin Warren,3759,0.7230642109509171,2717,11,25.0,EMP_1301,MERCH_1276|MERCH_1251|MERCH_1412|MERCH_1075|MERCH_1156|MERCH_1319|MERCH_1377,CP_11227,Medium,2020-06-01,Education,0.5,0.3342105263157895,0.0,1416953.1700000002,45108,31.412458322248828,99.87626825043307,19.975253650086614,19.975253650086614,0.4075738125802311,0.39023991597990376,0.39544008496000194,Medium,0.0,True
CUST_100017,retail,Melissa Alvarez,39495,0.7671403830947324,30298,51,26.0,EMP_1488,MERCH_1273|MERCH_1063|MERCH_1380|MERCH_1234,CP_10827,Medium,2021-07-01,Construction,0.5,0.5026315789473684,0.0,452682.55,473940,0.9551473815250875,54.75129918337045,10.950259836674089,10.95025983667409,0.6129653401797176,0.21392611846024207,0.3336378849760847,Medium,0.0,False
CUST_100018,retail,William Powell,13587,0.8126371588129001,11041,29,28.0,EMP_1893,MERCH_1318|MERCH_1330|MERCH_1288,CP_10303|CP_10523,Low,2018-09-01,Tech,0.1,0.2236842105263158,0.0,603868.18,163044,3.70371298545178,93.31848552338529,18.663697104677055,18.663697104677055,0.27278562259306804,0.3646171266502023,0.337067675433062,Medium,1.0,False
CUST_100019,retail,Eric Rivera,155508,0.4565605782331452,70998,43,25.0,EMP_1699,MERCH_1436|MERCH_1335|MERCH_1146|MERCH_1433|MERCH_1395,CP_10253|CP_11783|CP_11705,Low,2022-01-01,Tech,0.1,0.19736842105263158,0.0,1611268.44,1866096,0.8634434884378939,45.60752289037367,9.121504578074735,9.121504578074735,0.2406931964056483,0.17819924805524345,0.1969474325603649,Low,0.0,False
CUST_100020,retail,Nicole Pope,13057,0.4404698179263261,5751,59,27.0,EMP_1550,MERCH_1485|MERCH_1349|MERCH_1322|MERCH_1252|MERCH_1325,CP_10884|CP_10211|CP_10138,Low,2022-07-01,Finance,0.1,0.27894736842105267,0.0,116017.2,156684,0.7404533966454775,30.79683246721109,6.159366493442217,6.159366493442217,0.3401797175866496,0.12033042007854067,0.18628520933097334,Low,0.0,False
CUST_100021,retail,Kevin Estrada,135176,0.8576710920279069,115936,53,26.0,EMP_1693,MERCH_1160|MERCH_1098|MERCH_1189|MERCH_1393|MERCH_1471|MERCH_1462|MERCH_1076,CP_11927|CP_11889|CP_10231,High,2020-07-01,Education,0.85,0.5157894736842106,0.0,746077.03,1622112,0.4599417487818351,8.240534521158128,1.6481069042316256,1.6481069042316259,0.6290115532734276,0.03219769376147372,0.21124185161505987,Medium,-1.0,False
CUST_100022,retail,David Smith,78707,0.5871304225247259,46211,50,26.0,EMP_1237,MERCH_1481|MERCH_1039|MERCH_1242|MERCH_1479,CP_11588|CP_10615,Low,2018-03-01,Finance,0.1,0.2578947368421053,0.0,530139.97,944484,0.5613011655041271,14.798317248205889,2.9596634496411776,2.9596634496411776,0.3145057766367138,0.05782048309117502,0.13482607115483664,Low,0.0,False
CUST_100023,retail,Lauren Stephens,22872,0.5680954242369541,12993,58,27.0,EMP_1035,MERCH_1291|MERCH_1141|MERCH_1248|MERCH_1382|MERCH_1159,CP_10830|CP_10027|CP_10626,,2022-09-01,Construction,1.0,0.6947368421052632,0.0,238255.2,274464,0.8680745015739769,46.164315763424895,9.23286315268498,9.23286315268498,0.847240051347882,0.18037476790399168,0.38043435293715877,Medium,,False
CUST_100024,retail,Andrea Espinoza,54501,0.4342572717757038,23667,25,25.0,EMP_1634,MERCH_1376|MERCH_1227|MERCH_1305|MERCH_1031|MERCH_1172|MERCH_1261|MERCH_1094,CP_10527|CP_10171|CP_11921,Medium,2022-08-01,Tech,0.5,0.35263157894736846,0.0,317297.22,654012,0.4851550430267334,9.873793615441723,1.9747587230883445,1.9747587230883448,0.430038510911425,0.038579218651135186,0.1560170063292221,Low,-1.0,False
CUST_100025,retail,Shannon Welch,41990,0.8017265478257889,33664,26,25.0,EMP_1505,MERCH_1125|MERCH_1136|MERCH_1449,CP_10781,Low,2020-02-01,Healthcare,0.1,0.25526315789473686,0.0,297970.86,503880,0.5913528221005001,16.864637465973768,3.3729274931947533,3.3729274931947533,0.3112965340179718,0.06589407897430731,0.13951481548740666,Low,0.0,False
CUST_100026,retail,Aaron Wright,9937,0.5441080806329908,5406,18,27.0,EMP_1555,MERCH_1019|MERCH_1186|MERCH_1440|MERCH_1431|MERCH_1128|MERCH_1311|MERCH_1259,CP_11819,Low,2021-08-01,Construction,0.1,0.31578947368421056,0.0,381254.76,119244,3.197265774378585,89.97772828507794,17.995545657015587,17.995545657015587,0.3851091142490373,0.351564007557713,0.3616275395651103,Medium,1.0,False
CUST_100027,retail,Andrea Mueller MD,97435,0.7566310813936745,73722,37,26.0,EMP_1209,MERCH_1306|MERCH_1498|MERCH_1496|MERCH_1441|MERCH_1384,CP_11701,Low,2018-10-01,Healthcare,0.1,0.22105263157894736,0.0,1189504.14,1169220,1.0173484374198183,59.63870329126454,11.927740658252908,11.927740658252908,0.26957637997432604,0.2330223482436987,0.24398855776288686,Medium,1.0,False
CUST_100028,sme,"Lynch, Johnson and Lawrence",10000000,0.9200919961131858,9200919,83,,,MERCH_1459|MERCH_1357|MERCH_1469|MERCH_1079|MERCH_1198|MERCH_1206|MERCH_1204,CP_11876,High,2021-03-01,,0.85,0.7066666666666667,0.0,441843.29,120000000,0.0036820274166666665,2.752924982794219,0.5505849965588437,0.5505849965588437,0.8617886178861789,0.0107563211241619,0.266066010152767,Medium,-1.0,False
CUST_100029,retail,Linda Crawford,66096,0.701157589027836,46343,18,25.0,EMP_1116,MERCH_1162|MERCH_1245|MERCH_1178|MERCH_1493|MERCH_1387|MERCH_1149|MERCH_1474,CP_11234|CP_10074|CP_11163,Medium,2020-12-01,Tech,0.5,0.35000000000000003,0.0,684812.57,793152,0.8634064718994593,45.59514971541698,9.119029943083397,9.119029943083397,0.426829268292683,0.17815090316971574,0.2527544127066059,Medium,0.0,False
CUST_100030,retail,Rachel Rice,35899,0.4839123071935433,17371,50,26.0,EMP_1016,MERCH_1257|MERCH_1413|MERCH_1209|MERCH_1181|MERCH_1460|MERCH_1271|MERCH_1195,CP_10584,Medium,2019-09-01,Construction,0.5,0.4421052631578948,0.0,654186.6900000001,430788,1.5185815064486476,74.65973768869092,14.931947537738184,14.931947537738186,0.5391527599486522,0.29171303927437303,0.3659449554766568,Medium,0.0,False
CUST_100031,retail,Danny Brown MD,47990,0.4233417121795805,20316,25,28.0,EMP_1034,MERCH_1246|MERCH_1059|MERCH_1207,CP_11742|CP_11013,Low,2019-10-01,Healthcare,0.1,0.1736842105263158,0.0,1502072.96,575880,2.60830895325415,85.96881959910914,17.193763919821826,17.19376391982183,0.2118100128369705,0.3359002646467259,0.29867318910379925,Medium,1.0,False
CUST_100032,retail,Bryan Perry,11522,0.4137518203417743,4767,58,27.0,EMP_1282,MERCH_1023|MERCH_1233|MERCH_1426,CP_10796|CP_11627,Low,2020-05-01,Education,0.1,0.16842105263157897,0.0,197366.4,138264,1.427460510328068,73.2739420935412,14.654788418708238,14.65478841870824,0.20539152759948656,0.2862984120952663,0.26202634674653236,Medium,1.0,False
CUST_100033,retail,Nicole Garcia,3000,0.6093823016929503,1828,13,28.0,EMP_1071,MERCH_1449|MERCH_1223|MERCH_1108|MERCH_1361|MERCH_1458|MERCH_1338|MERCH_1296,CP_11423|CP_10984,Low,2022-06-01,Finance,0.1,0.2736842105263158,0.0,32736.0,36000,0.9093333333333333,50.5939123979213,10.118782479584262,10.118782479584262,0.33376123234916566,0.197682236922922,0.23850593555079508,Medium,1.0,False
CUST_100034,retail,Tina Hernandez,10572,0.5815241682653168,6147,25,28.0,EMP_1803,MERCH_1248|MERCH_1299|MERCH_1227|MERCH_1012|MERCH_1060|MERCH_1133|MERCH_1435,CP_10462|CP_10240,Medium,2019-05-01,Construction,0.5,0.4421052631578948,0.0,223585.75,126864,1.76240501639551,78.33457065082901,15.6669141301658,15.6669141301658,0.5391527599486522,0.30607147027611126,0.37599585717787354,Medium,0.0,False
CUST_100035,retail,Dr. John Duncan,33948,0.7892626482838471,26793,43,28.0,EMP_1463,MERCH_1423|MERCH_1061|MERCH_1334,CP_11498,Low,2019-06-01,Retail,0.1,0.2947368421052632,0.0,343114.77,407376,0.8422557293507719,43.13288789903489,8.626577579806977,8.626577579806977,0.35943517329910146,0.16853027094969575,0.22580174165451744,Medium,1.0,False
CUST_100036,retail,Ronald Gill,80013,0.5636198510982947,45096,34,26.0,EMP_1614,MERCH_1185|MERCH_1292|MERCH_1025|MERCH_1113,CP_11552|CP_10876|CP_10533,Low,2021-09-01,Construction,0.1,0.32368421052631585,0.0,488374.85000000003,960156,0.5086411478968001,11.210096510764663,2.2420193021529324,2.2420193021529324,0.3947368421052633,0.04380046628813092,0.14908137903327062,Low,0.0,False
CUST_100037,retail,Daniel Barker,14294,0.8429244293848606,12048,16,28.0,EMP_1343,MERCH_1038|MERCH_1209|MERCH_1075,CP_10523|CP_11611|CP_10665,Low,2021-12-01,Construction,0.1,0.3710526315789474,0.0,242140.21,171528,1.4116657921738724,72.95223954466717,14.590447908933433,14.590447908933434,0.45250320924261883,0.28504144507154516,0.33527997432286727,Medium,1.0,False
CUST_100038,sme,"Santiago, Larson and Aguilar",10000000,0.8974567618719727,8974567,31,,,MERCH_1103|MERCH_1109|MERCH_1051|MERCH_1117|MERCH_1434|MERCH_1095,CP_11527,Low,2020-11-01,,0.1,0.29333333333333333,0.0,161607.02,120000000,0.0013467251666666666,0.06882312456985547,0.013764624913971093,0.013764624913971095,0.35772357723577236,0.00026890802810404757,0.10750530879040454,Low,0.0,False
CUST_100039,sme,Forbes Group,1296435,0.5656146900366025,733282,91,,,MERCH_1356|MERCH_1302|MERCH_1384|MERCH_1144|MERCH_1395,CP_10359,High,2020-03-01,,0.85,0.5933333333333334,0.0,565275.49,15557220,0.03633525077102464,43.28974535443909,8.657949070887819,8.657949070887819,0.7235772357723578,0.16914314967744593,0.33547337550591944,Medium,-1.0,False
