customer_id,segment,name,income_or_turnover,budget_pct,expected_monthly_outflow,expected_monthly_txns,salary_day,employer_id,fav_merchants,fav_counterparties,kyc_risk,join_date
CUST_100000,retail,Nathan Mccann,4846,0.8258664756195273,4002,9,26.0,EMP_1752,MERCH_1460|MERCH_1262|MERCH_1405|MERCH_1270|MERCH_1247|MERCH_1248|MERCH_1471,CP_10140|CP_11063,Low,2022-10-01
CUST_100001,retail,Julie Gonzalez,200000,0.7093361557648565,141867,20,26.0,EMP_1560,MERCH_1229|MERCH_1280|MERCH_1212|MERCH_1319,CP_10016|CP_10713,Medium,2019-02-01
CUST_100002,sme,Ortiz Inc,1738989,0.5938910827152846,1032770,128,,,MERCH_1044|MERCH_1003|MERCH_1002|MERCH_1215,CP_10301|CP_10059,Low,2020-06-01
CUST_100003,corporate,Brown Ltd,893317,0.8533473922575809,762309,103,,,MERCH_1172|MERCH_1461|MERCH_1475|MERCH_1034|MERCH_1061|MERCH_1426|MERCH_1498,CP_11047|CP_11658|CP_11472,Low,2021-12-01
CUST_100004,retail,Bobby Williams,17668,0.6729775242064084,11890,35,28.0,EMP_1126,MERCH_1057|MERCH_1152|MERCH_1025|MERCH_1478|MERCH_1161|MERCH_1033|MERCH_1403,CP_10685|CP_10300|CP_11783,Low,2022-10-01
CUST_100005,retail,Heather Schmidt,5898,0.7505658738643242,4426,8,27.0,EMP_1095,MERCH_1432|MERCH_1254|MERCH_1173|MERCH_1237|MERCH_1158|MERCH_1155|MERCH_1470,CP_10464|CP_10171|CP_10986,Low,2022-06-01
CUST_100006,retail,Eric Owen,3000,0.5466868868504678,1640,17,27.0,EMP_1268,MERCH_1228|MERCH_1264|MERCH_1134,CP_11029|CP_10219|CP_10627,Low,2020-12-01
CUST_100007,retail,Michael Johnson,15985,0.9108422109987845,14559,48,26.0,EMP_1930,MERCH_1400|MERCH_1005|MERCH_1027|MERCH_1440,CP_10424,Low,2018-06-01
CUST_100008,retail,Catherine Schmidt,7664,0.42329906257403016,3244,17,25.0,EMP_1020,MERCH_1317|MERCH_1252|MERCH_1362|MERCH_1147|MERCH_1466,CP_11590,Low,2020-12-01
CUST_100009,retail,Heather Simmons,17870,0.4547038785987044,8125,41,25.0,EMP_1127,MERCH_1290|MERCH_1035|MERCH_1041|MERCH_1388|MERCH_1284|MERCH_1211|MERCH_1198,CP_10832|CP_11001,Low,2019-03-01
CUST_100010,retail,David Johnson,12936,0.7240604987201191,9366,58,26.0,EMP_1498,MERCH_1262|MERCH_1074|MERCH_1254|MERCH_1280|MERCH_1285,CP_10761|CP_11410|CP_10464,Low,2019-05-01
CUST_100011,sme,Hoffman LLC,1027533,0.7280089079863011,748053,128,,,MERCH_1161|MERCH_1423|MERCH_1064|MERCH_1245|MERCH_1170|MERCH_1354|MERCH_1121,CP_10358,Low,2020-06-01
CUST_100012,retail,Michael Brennan,21570,0.47363013301200985,10216,59,28.0,EMP_1117,MERCH_1314|MERCH_1041|MERCH_1313|MERCH_1046,CP_11577|CP_11848|CP_11268,Low,2018-05-01
CUST_100013,retail,James Carson,9264,0.7575899428847039,7018,17,26.0,EMP_1455,MERCH_1388|MERCH_1085|MERCH_1371|MERCH_1450|MERCH_1423|MERCH_1199,CP_11476,Medium,2021-12-01
CUST_100014,retail,Jessica King,74605,0.678207565426489,50597,39,28.0,EMP_1677,MERCH_1313|MERCH_1374|MERCH_1204,CP_11200|CP_11871|CP_11336,Low,2018-04-01
CUST_100015,retail,James Morrow,7747,0.5518682431464756,4275,8,28.0,EMP_1295,MERCH_1447|MERCH_1303|MERCH_1249|MERCH_1154|MERCH_1253|MERCH_1001|MERCH_1123,CP_10590|CP_11135,Low,2019-09-01
CUST_100016,retail,Kevin Warren,3759,0.7230642109509171,2717,11,25.0,EMP_1301,MERCH_1276|MERCH_1251|MERCH_1412|MERCH_1075|MERCH_1156|MERCH_1319|MERCH_1377,CP_11227,Medium,2020-06-01
CUST_100017,retail,Melissa Alvarez,39495,0.7671403830947324,30298,51,26.0,EMP_1488,MERCH_1273|MERCH_1063|MERCH_1380|MERCH_1234,CP_10827,Medium,2021-07-01
CUST_100018,retail,William Powell,13587,0.8126371588129001,11041,29,28.0,EMP_1893,MERCH_1318|MERCH_1330|MERCH_1288,CP_10303|CP_10523,Low,2018-09-01
CUST_100019,retail,Eric Rivera,155508,0.4565605782331452,70998,43,25.0,EMP_1699,MERCH_1436|MERCH_1335|MERCH_1146|MERCH_1433|MERCH_1395,CP_10253|CP_11783|CP_11705,Low,2022-01-01
CUST_100020,retail,Nicole Pope,13057,0.4404698179263261,5751,59,27.0,EMP_1550,MERCH_1485|MERCH_1349|MERCH_1322|MERCH_1252|MERCH_1325,CP_10884|CP_10211|CP_10138,Low,2022-07-01
CUST_100021,retail,Kevin Estrada,135176,0.8576710920279069,115936,53,26.0,EMP_1693,MERCH_1160|MERCH_1098|MERCH_1189|MERCH_1393|MERCH_1471|MERCH_1462|MERCH_1076,CP_11927|CP_11889|CP_10231,High,2020-07-01
CUST_100022,retail,David Smith,78707,0.5871304225247259,46211,50,26.0,EMP_1237,MERCH_1481|MERCH_1039|MERCH_1242|MERCH_1479,CP_11588|CP_10615,Low,2018-03-01
CUST_100023,retail,Lauren Stephens,22872,0.5680954242369541,12993,58,27.0,EMP_1035,MERCH_1291|MERCH_1141|MERCH_1248|MERCH_1382|MERCH_1159,CP_10830|CP_10027|CP_10626,,2022-09-01
CUST_100024,retail,Andrea Espinoza,54501,0.4342572717757038,23667,25,25.0,EMP_1634,MERCH_1376|MERCH_1227|MERCH_1305|MERCH_1031|MERCH_1172|MERCH_1261|MERCH_1094,CP_10527|CP_10171|CP_11921,Medium,2022-08-01
CUST_100025,retail,Shannon Welch,41990,0.8017265478257889,33664,26,25.0,EMP_1505,MERCH_1125|MERCH_1136|MERCH_1449,CP_10781,Low,2020-02-01
CUST_100026,retail,Aaron Wright,9937,0.5441080806329908,5406,18,27.0,EMP_1555,MERCH_1019|MERCH_1186|MERCH_1440|MERCH_1431|MERCH_1128|MERCH_1311|MERCH_1259,CP_11819,Low,2021-08-01
CUST_100027,retail,Andrea Mueller MD,97435,0.7566310813936745,73722,37,26.0,EMP_1209,MERCH_1306|MERCH_1498|MERCH_1496|MERCH_1441|MERCH_1384,CP_11701,Low,2018-10-01
CUST_100028,sme,"Lynch, Johnson and Lawrence",10000000,0.9200919961131858,9200919,83,,,MERCH_1459|MERCH_1357|MERCH_1469|MERCH_1079|MERCH_1198|MERCH_1206|MERCH_1204,CP_11876,High,2021-03-01
